ref_ceh;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
1401;197008;;55.149;147.712;76.98;;6;11.8;;17;1
1401;197009;;10.394;26.941;65.46;;1;0;;6;1
1401;197010;;26.661;71.41;53.97;;6;8.32;;30;1
1401;197011;;34.996;90.709;63.86;;20;4.67;;9;1
1401;197012;;58.722;157.28;78.43;;18;19.55;;26;1
1401;197101;;46.355;124.157;78.6;;21;3.99;;9;1
1401;197102;;66.547;160.991;78.45;;2;54.94;;14;1
1401;197103;;66.428;177.92;80.52;;21;19.9;;13;1
1401;197104;;71.41;185.094;81.66;;1;58.38;;29;1
1401;197105;;67.842;181.708;76.46;;2;45.97;;3;1
1401;197106;;72.361;187.561;80.91;;23;57.32;;4;1
1401;197107;;73.408;196.615;83.29;;3;59.15;;11;1
1401;197108;;69.772;186.877;75.9;;21;50.97;;16;1
1401;197109;;65.567;169.95;77.85;;12;47.51;;20;1
1401;197110;;52.616;140.927;69.52;;2;32.29;;31;1
1401;197111;;58.755;152.293;75.04;;20;21.78;;2;1
1401;197112;;61.381;164.404;81.64;;23;35.35;;26;1
1401;197201;;61.899;165.79;81.72;;14;17.08;;6;1
1401;197202;;61.874;155.032;83.86;;6;14.81;;11;1
1401;197203;;70.252;188.164;79.32;;26;44.85;;4;1
1401;197204;;69.088;179.075;76.4;;8;52.5;;12;1
1401;197205;;66.035;176.869;75.45;;16;40.54;;11;1
1401;197206;;64.696;167.693;73.44;;18;34.79;;29;1
1401;197207;;64.794;173.545;77.68;;21;38.87;;2;1
1401;197208;;45.41;121.627;77.34;;14;0;;18;1
1401;197209;;34.501;89.427;49.55;;3;17.41;;26;1
1401;197210;;62.112;166.361;78.6;;26;27.42;;1;1
1401;197211;;65.312;169.29;76.93;;29;42.75;;16;1
1401;197212;;73.055;195.669;79.92;;12;54.23;;26;1
1401;197301;;71.295;190.956;82.4;;27;59.5;;17;1
1401;197302;;70.085;169.549;79.88;;24;52.39;;13;1
1401;197303;;70.172;187.948;82.63;;2;33.26;;20;1
1401;197304;;49.388;128.013;78.24;;2;30.05;;21;1
1401;197305;;57.106;152.954;81.32;;13;11;;5;1
1401;197306;;45.173;117.088;73.36;;7;19.88;;16;1
1401;197307;;46.379;124.221;73.94;;27;9.19;;11;1
1401;197308;;56.596;151.588;75.39;;7;4.02;;28;1
1401;197309;;41.656;107.973;73.48;;22;6.86;;10;1
1401;197310;;57.886;155.042;75.58;;19;21.47;;14;1
1401;197311;;43.096;111.704;78.01;;2;18.75;;19;1
1401;197312;;45.397;121.591;77.98;;23;17.3;;9;1
1401;197401;;67.369;180.441;79.85;;5;39.3;;31;1
1401;197402;;47.269;114.353;80.39;;28;8.03;;15;1
1401;197403;;74.169;198.655;80.93;;10;67.06;;20;1
1401;197404;;65.076;168.677;78.87;;5;34.85;;28;1
1401;197405;;61.212;163.949;74.39;;19;29.26;;31;1
1401;197406;;44.815;116.161;77.79;;30;23.45;;2;1
1401;197407;;62.125;166.394;74.16;;7;45.75;;18;1
1401;197408;;0;0;0;;1;0;;1;1
1401;197409;;0;0;0;;1;0;;1;1
1401;197410;;0.32;0.856;3.06;;21;0;;1;1
1401;197411;;0;0;0;;1;0;;1;1
1401;197412;;0;0;0;;1;0;;1;1
1401;197501;;0;0;0;;1;0;;1;1
1401;197502;;0;0;0;;1;0;;1;1
1401;197503;;4.982;13.343;67.16;;30;0;;1;1
1401;197504;;56.414;146.225;73.4;;10;40.72;;14;1
1401;197505;;38.698;103.65;59.17;;10;18.41;;1;1
1401;197506;;38.414;99.568;67.53;;24;17.64;;11;1
1401;197507;;38.183;102.27;56.52;;3;9.7;;20;1
1401;197508;;27.954;74.873;59.95;;14;5.61;;24;1
1401;197509;;49.584;128.521;76.82;;12;4.29;;21;1
1401;197510;;47.978;128.504;76.85;;18;0;;28;1
1401;197511;;59.129;153.263;78.09;;29;9.86;;1;1
1401;197512;;69.056;184.96;78.64;;13;46.41;;28;1
1401;197601;;26.23;70.255;64.46;;3;9.34;;11;1
1401;197602;;52.606;131.809;76.91;;16;12.48;;8;1
1401;197603;;53.993;144.615;71.57;;17;13.94;;14;1
1401;197604;;58.479;151.578;75.78;;7;29.91;;11;1
1401;197605;;30.202;80.894;52.07;;29;9.58;;2;1
1401;197606;;34.958;90.61;56.75;;15;14.63;;27;1
1401;197607;;32.188;86.213;59.8;;7;10.87;;11;1
1401;197608;;29.618;79.329;58.66;;31;13;;15;1
1401;197609;;39.822;103.219;66.75;;29;18.43;;12;1
1401;197610;;48.709;130.462;76.15;;29;1.51;;11;1
1401;197611;;66.837;173.241;79.86;;30;49.53;;11;1
1401;197612;;63.181;169.225;74.15;;19;0.28;;7;1
1401;197701;;60.854;162.991;76.88;;2;11.47;;26;1
1401;197702;;19.127;46.272;61.08;;7;0;;10;1
1401;197703;;41.831;112.04;77.06;;7;22.47;;22;1
1401;197704;;57.613;149.332;79.5;;8;39.67;;5;1
1401;197705;;51.373;137.597;74.34;;31;19.37;;2;1
1401;197706;;67.889;175.968;76.16;;10;43.47;;5;1
