indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
1724;1981;1982;;340;INCOMPLETO CON VALOR ALTO;12;;166.5;;;;
1724;1985;1986;;190;INCOMPLETO CON VALOR ALTO;2;;124.4;;;;
1724;1990;1991;;79;INCOMPLETO CON VALOR ALTO;1;7;62.327;;;;
1724;1993;1994;;127;INCOMPLETO CON VALOR ALTO;1;9;110.447;;;;
1727;1994;1995;;188;INCOMPLETO CON VALOR ALTO;3;5;98.803;;;;
1724;2000;2001;;360.114;INCOMPLETO CON VALOR ALTO;1;5;211.951;;;;
1727;1991;1992;;115;INCOMPLETO CON VALOR ALTO;11;15;62.124;;;;
1724;2006;2007;;78.94;INCOMPLETO CON VALOR ALTO;2;23;;60.687;INCOMPLETO CON VALOR ALTO;2;24
1725;2009;2010;;35.27;INCOMPLETO CON VALOR ALTO;2;25;;30.635;INCOMPLETO CON VALOR ALTO;2;25
1726;2007;2008;;9.92;INCOMPLETO CON VALOR ALTO;3;27;;9.717;INCOMPLETO CON VALOR ALTO;5;2
1726;2008;2009;103.463;;;;;;87.272;INCOMPLETO CON VALOR ALTO;1;23
1727;1958;1959;;;;;;;208;INCOMPLETO CON VALOR ALTO;12;18
1727;1959;1960;;;;;;;197;INCOMPLETO CON VALOR ALTO;12;26
1727;1982;1983;;182;INCOMPLETO CON VALOR ALTO;12;;106.6;;;;
1727;1986;1987;;77;INCOMPLETO CON VALOR ALTO;2;17;57.474;;;;
1734;1926;1927;;;;;;;170;VALOR COMPLETADO;11;20
1724;1994;1995;;82;INCOMPLETO CON VALOR ALTO;12;31;62.919;;;;
1742;2008;2009;;14.65;INCOMPLETO CON VALOR ALTO;1;23;;14.65;INCOMPLETO CON VALOR ALTO;1;23
1739;1925;1926;;1011;VALOR COMPLETADO;11;8;;869;INCOMPLETO CON VALOR ALTO;11;8
1739;1926;1927;;1209;VALOR COMPLETADO;2;27;;965;INCOMPLETO CON VALOR ALTO;2;27
1739;1927;1928;;818;VALOR COMPLETADO;12;23;;545;INCOMPLETO CON VALOR ALTO;12;23
1739;1928;1929;;;;;;;190;VALOR COMPLETADO;2;4
1739;1929;1930;;;;;;;1109;VALOR COMPLETADO;12;3
1739;1930;1931;;1090;VALOR COMPLETADO;1;3;;789;INCOMPLETO CON VALOR ALTO;1;3
1739;2008;2009;367.5;;;;;;302.79;INCOMPLETO CON VALOR ALTO;1;24
1739;2009;2010;;337.8;INCOMPLETO CON VALOR ALTO;3;1;;268.294;INCOMPLETO CON VALOR ALTO;3;1
1734;1924;1925;;;;;;;93;VALOR COMPLETADO;11;29
1739;2011;2012;;;;;;;87.961;INCOMPLETO CON VALOR ALTO;5;9
1739;1922;1923;;817;VALOR COMPLETADO;11;4;;709;INCOMPLETO CON VALOR ALTO;11;4
1742;2009;2010;;39.26;INCOMPLETO CON VALOR ALTO;2;27;16.742;;;;
1747;1955;1956;;;;;;;227;VALOR COMPLETADO;12;15
1747;1959;1960;;;;;;;687;VALOR COMPLETADO;12;27
1747;1960;1961;;;;;;;350;VALOR COMPLETADO;11;17
1748;1951;1952;;294;VALOR COMPLETADO;11;8;64.75;;;;
1748;1955;1956;;;;;;;139;VALOR COMPLETADO;12;15
1748;1959;1960;;;;;;;362;VALOR COMPLETADO;12;26
1749;1955;1956;;;;;;;451;VALOR COMPLETADO;12;15
1749;1959;1960;;;;;;;780;VALOR COMPLETADO;12;27
1739;2010;2011;400.4;;;;;;351.54;INCOMPLETO CON VALOR ALTO;1;7
1739;1913;1914;;;;;;;1406;VALOR COMPLETADO;2;22
1734;1927;1928;;;;;;;170;VALOR COMPLETADO;3;24
1734;1928;1929;;;;;;;51;VALOR COMPLETADO;2;24
1734;1929;1930;;;;;;;183;VALOR COMPLETADO;12;4
1734;1930;1931;;;;;;;300;VALOR COMPLETADO;3;19
1734;1979;1980;;91;INCOMPLETO CON VALOR ALTO;11;;66.6;;;;
1734;1990;1991;;127;INCOMPLETO CON VALOR ALTO;3;6;95.167;;;;
1734;1994;1995;;75;INCOMPLETO CON VALOR ALTO;3;6;54.57;;;;
1734;1995;1996;;167.97;INCOMPLETO CON VALOR ALTO;12;25;145.33;;;;
1734;2004;2005;;33.025;INCOMPLETO CON VALOR ALTO;10;20;21.606;;;;
1739;1924;1925;;832;VALOR COMPLETADO;2;26;;580;INCOMPLETO CON VALOR ALTO;2;26
1739;1912;1913;;;;;;;457;VALOR COMPLETADO;10;1
1739;1923;1924;;1406;VALOR COMPLETADO;3;26;;1045;INCOMPLETO CON VALOR ALTO;3;26
1739;1914;1915;;;;;;;1418;VALOR COMPLETADO;1;3
1739;1915;1916;;;;;;;950;VALOR COMPLETADO;12;8
1739;1916;1917;;;;;;;1818;VALOR COMPLETADO;12;23
1739;1917;1918;;;;;;;969;VALOR COMPLETADO;4;5
1739;1918;1919;;;;;;;2927;VALOR COMPLETADO;2;23
1739;1919;1920;;;;;;;600;VALOR COMPLETADO;3;15
1739;1920;1921;;;;;;;127;VALOR COMPLETADO;2;3
1739;1921;1922;;912;VALOR COMPLETADO;1;29;;757;INCOMPLETO CON VALOR ALTO;4;6
1721;2009;2010;239.4;;;;;;205.44;INCOMPLETO CON VALOR ALTO;2;25
1734;2012;2013;;69.04;INCOMPLETO CON VALOR ALTO;1;19;;53.061;INCOMPLETO CON VALOR ALTO;1;19
