indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
1659;2007;2008;;19.06;INCOMPLETO CON VALOR ALTO;1;15;;18.475;INCOMPLETO CON VALOR ALTO;4;24
1659;2008;2009;100.979;;;;;;70.194;INCOMPLETO CON VALOR ALTO;1;29
1659;2009;2010;;204.84;INCOMPLETO CON VALOR ALTO;2;25;160.19;;;;
1715;2007;2008;;8.71;INCOMPLETO CON VALOR ALTO;4;10;;7.927;INCOMPLETO CON VALOR ALTO;4;23
1719;2008;2009;;4.988;INCOMPLETO CON VALOR ALTO;4;24;;4.988;INCOMPLETO CON VALOR ALTO;4;24
1719;2009;2010;;11.48;INCOMPLETO CON VALOR ALTO;12;29;10.979;;;;
1720;2008;2009;;2.45;INCOMPLETO CON VALOR ALTO;7;23;;2.45;INCOMPLETO CON VALOR ALTO;7;23
1720;2009;2010;;6.84;INCOMPLETO CON VALOR ALTO;2;25;5.367;;;;
1647;2002;2003;;55.847;INCOMPLETO CON VALOR ALTO;12;28;49.81;;;;
1641;1935;1936;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1619;1985;1986;;402;INCOMPLETO CON VALOR ALTO;2;;248.6;;;;
1639;2011;2012;87.04;;;;;;64.361;INCOMPLETO CON VALOR ALTO;5;9
1640;2007;2008;;845.452;INCOMPLETO CON VALOR ALTO;1;6;;184.713;INCOMPLETO CON VALOR ALTO;1;14
1640;2017;2018;;130.801;INCOMPLETO CON VALOR ALTO;3;11;;110.594;INCOMPLETO CON VALOR ALTO;3;12
1641;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1641;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1641;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1641;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1641;1931;1932;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1645;1999;2000;;360.622;INCOMPLETO CON VALOR ALTO;4;25;188.179;;;;
1641;1934;1935;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1645;1982;1983;;;;;;;224;INCOMPLETO CON VALOR ALTO;12;12
1641;1937;1938;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1641;1938;1939;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1641;1939;1940;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1641;1941;1942;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
1641;1942;1943;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
