ref_ceh;canal;tipo_canal_id;serv;num_cuenca;num_cuencat;muni_id;suprcnc;suprcan;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;naa;naai;naam;hoja_id;comentario;xetrs89;yetrs89;cod_saih
1401;SAN MARTIN-MONTEFURADO                            ;2;0;1436;1436;27050;386.62;4508;650466;4694847;156586;4701665;-71019;422329;-71023;422322;18;0;18;190;INT 1978                                                                        ;156475;4701459;
1402;MONTEFURADO-SAN MARTIN                            ;2;0;1453;1453;27050;3.28;1550;646808;4695000;152944;4702077;-71259;422336;-71303;422329;18;2;18;189;INT 1978                                                                        ;152833;4701871;
