ref_ceh;totanos;totanosc;totanosinc;anoini;anofin;totmeses;medano;minano;maxano;cv;cs;minmes;maxmes;moct;mnov;mdic;mene;mfeb;mmar;mabr;mmay;mjun;mjul;mago;msep;q5;q25;q50;q75;q95
1401;17;15;2;1961;1977;201;50.163;21.22;59.94;0.19;-1.61;0;74.17;46.289;50.062;51.955;51.366;51.528;53.39;59.469;55.101;52.361;45.996;39.444;37.91;71.51;64.24;54.01;38.7;19.13
1402;15;15;0;1961;1977;180;0.427;0;2.49;1.71;1.71;0;14.51;0;0;0.609;0.935;1.681;1.477;0.479;0;0;0;0;0.008;2.56;0;0;0;0
