indroea;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
1010;195602;0.06;13.676;34.266;21.8;0.22;2;9.4;-0.04;26;1
1010;195603;0.09;16.761;44.893;65.3;0.76;29;6.6;-0.12;15;1
1010;195604;0.63;59.757;154.889;200.5;1.64;13;19.5;0.18;7;1
1010;195605;0.01;11.719;31.389;24;0.26;1;6.6;-0.12;29;1
1010;195606;-0.22;4.097;10.619;6;-0.14;1;2.6;-0.3;26;1
1010;195607;-0.34;2.158;5.78;2.4;-0.32;1;1.8;-0.36;26;1
1010;195608;-0.35;1.965;5.262;2.6;-0.3;17;1.5;-0.4;11;1
1010;195609;-0.28;3.063;7.94;5.5;-0.16;10;1.4;-0.42;20;1
1010;195610;-0.24;3.784;10.135;7.3;-0.1;24;2.6;-0.3;4;1
1010;195611;-0.21;4.32;11.197;7.3;-0.1;18;2.6;-0.3;10;1
1010;195612;-0.14;6.174;16.537;8.6;-0.06;25;3.5;-0.24;1;1
1010;195701;-0.07;8.884;23.795;17.3;0.14;29;3.5;-0.24;10;1
1010;195702;0.06;13.746;33.255;20.6;0.2;22;10;-0.02;17;1
1010;195703;0.09;15.277;40.919;20.6;0.2;7;9.4;-0.04;18;1
1010;195704;-0.04;9.61;24.909;16.2;0.12;1;6;-0.14;23;1
1010;195705;-0.1;7.513;20.123;13.4;0.06;16;5.5;-0.16;5;1
