Embalse,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.112 (-0.153 a -0.036),-0.036 (-0.165 a 0.042),-0.500
E008 · Fuente del Azufre,-6.581 (-9.093 a -1.614),-12.645 (-21.644 a -6.624),-0.840
E009 · Montearenas,-0.153 (-0.219 a 0.118),-0.266 (-0.358 a -0.093),-0.370
E011 · Peñarrubia,0.043 (0.000 a 0.159),-0.032 (-0.083 a 0.072),-0.113
E025 · Leboreiro Mao,0.132 (0.087 a 0.136),0.148 (0.104 a 0.170),-0.059
E026 · Edrada Mao,0.446 (0.421 a 0.456),0.436 (0.417 a 0.451),0.308
E027 · San Esteban,-0.189 (-0.371 a 0.021),-0.159 (-0.196 a -0.062),-0.410
E028 · Vilasouto,0.847 (0.810 a 0.851),0.828 (0.746 a 0.848),0.705
E029 · San Pedro,-0.486 (-0.854 a -0.437),-1.178 (-1.706 a -0.794),-0.958
E030 · Velle,-0.925 (-1.438 a -0.727),-1.999 (-2.531 a -0.963),-0.755
E031 · Castrelo,-0.487 (-0.855 a -0.314),-0.444 (-1.433 a -0.191),-0.466
E033 · Frieira,-0.967 (-1.166 a -0.602),-0.451 (-0.634 a -0.446),-0.803
E07A · Bárcena,0.770 (0.730 a 0.775),0.760 (0.649 a 0.793),0.621
E32A · Albarellos,-0.369 (-0.437 a -0.188),-0.454 (-0.765 a -0.367),-0.780
E35A · Conchas,0.648 (0.600 a 0.726),0.420 (0.308 a 0.573),0.360
E570 · Santiago,0.490 (0.450 a 0.585),0.451 (0.212 a 0.545),0.658
E571 · Pumares,-13.516 (-16.588 a -10.072),-18.835 (-23.535 a -15.410),-1.105
