,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.115,0.205,-0.939
E008 · Fuente del Azufre,-49.723,-43.1,-1.109
E009 · Montearenas,-0.178,-0.441,-1.392
E011 · Peñarrubia,-0.087,-0.153,-0.869
E025 · Leboreiro Mao,-0.237,-0.04,-0.867
E026 · Edrada Mao,0.001,0.199,-0.891
E027 · San Esteban,-0.216,-0.592,-0.947
E028 · Vilasouto,0.755,0.693,-0.564
E029 · San Pedro,-1.986,-1.442,-0.632
E030 · Velle,-0.926,-0.716,-0.976
E031 · Castrelo,-0.19,-0.328,-0.431
E033 · Frieira,-0.236,-0.234,-0.658
E07A · Bárcena,0.533,0.566,-1.134
E32A · Albarellos,-0.469,-0.517,-0.907
E35A · Conchas,0.454,0.414,-1.091
E570 · Santiago,-0.157,-0.054,-0.021
E571 · Pumares,-18.143,-26.645,-0.397
Mediana,-0.19,-0.234,-0.891
