,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.153,-0.07,-0.5
E008 · Fuente del Azufre,-5.691,-6.624,-0.84
E009 · Montearenas,-0.219,-0.266,-0.37
E011 · Peñarrubia,0.048,-0.058,-0.113
E025 · Leboreiro Mao,0.136,0.165,-0.059
E026 · Edrada Mao,0.446,0.436,0.308
E027 · San Esteban,0.021,-0.196,-0.41
E028 · Vilasouto,0.81,0.828,0.705
E029 · San Pedro,-0.854,-0.794,-0.958
E030 · Velle,-0.727,-2.23,-0.755
E031 · Castrelo,-0.487,-0.921,-0.466
E033 · Frieira,-0.602,-0.589,-0.803
E07A · Bárcena,0.77,0.793,0.621
E32A · Albarellos,-0.367,-0.454,-0.78
E35A · Conchas,0.64,0.42,0.36
E570 · Santiago,0.519,0.391,0.658
E571 · Pumares,-10.072,-15.41,-1.105
Mediana,-0.153,-0.196,-0.41
