,Base,Base + calidad,Persistencia
E002 · Os Peares,0.423,0.416,0.634
E008 · Fuente del Azufre,-2.582,-3.097,-0.608
E009 · Montearenas,0.565,0.567,0.481
E011 · Peñarrubia,0.692,0.704,0.778
E025 · Leboreiro Mao,0.772,0.789,0.791
E026 · Edrada Mao,0.844,0.861,0.881
E027 · San Esteban,0.358,0.431,0.539
E028 · Vilasouto,0.937,0.944,0.979
E029 · San Pedro,-0.368,-0.336,-0.743
E030 · Velle,-0.164,-0.102,-0.589
E031 · Castrelo,0.055,0.154,-0.081
E033 · Frieira,-0.596,-0.327,-0.218
E07A · Bárcena,0.936,0.928,0.965
E32A · Albarellos,0.769,0.698,0.709
E35A · Conchas,0.884,0.773,0.916
E570 · Santiago,0.868,0.868,0.926
E571 · Pumares,-8.653,-12.696,-0.535
Mediana,0.565,0.567,0.634
