,Base,Base + calidad,Persistencia
E002 · Os Peares,0.003,-0.14,-0.939
E008 · Fuente del Azufre,-26.514,-46.546,-1.109
E009 · Montearenas,-0.726,-0.904,-1.392
E011 · Peñarrubia,0.012,-0.116,-0.869
E025 · Leboreiro Mao,-0.208,-0.361,-0.867
E026 · Edrada Mao,0.064,0.028,-0.891
E027 · San Esteban,-0.336,0.056,-0.947
E028 · Vilasouto,0.683,0.731,-0.564
E029 · San Pedro,-2.882,-1.028,-0.632
E030 · Velle,-0.532,-1.666,-0.976
E031 · Castrelo,-0.373,-0.999,-0.431
E033 · Frieira,-0.364,-1.422,-0.658
E07A · Bárcena,0.636,0.677,-1.134
E32A · Albarellos,-0.572,-0.898,-0.907
E35A · Conchas,0.468,0.146,-1.091
E570 · Santiago,0.016,-0.399,-0.021
E571 · Pumares,-26.374,-20.82,-0.397
Mediana,-0.336,-0.399,-0.891
