,Base,Base + calidad,Persistencia
E002 · Os Peares,0.639,0.638,0.634
E008 · Fuente del Azufre,0.032,0.03,-0.608
E009 · Montearenas,0.519,0.512,0.481
E011 · Peñarrubia,0.754,0.753,0.778
E025 · Leboreiro Mao,0.8,0.801,0.791
E026 · Edrada Mao,0.894,0.895,0.881
E027 · San Esteban,0.5,0.502,0.539
E028 · Vilasouto,0.993,0.993,0.979
E029 · San Pedro,-0.48,-0.482,-0.743
E030 · Velle,-0.089,-0.096,-0.589
E031 · Castrelo,0.173,0.166,-0.081
E033 · Frieira,0.107,0.1,-0.218
E07A · Bárcena,0.983,0.983,0.965
E32A · Albarellos,0.74,0.739,0.709
E35A · Conchas,0.94,0.94,0.916
E570 · Santiago,0.921,0.922,0.926
E571 · Pumares,-0.094,-0.096,-0.535
Mediana,0.639,0.638,0.634
