,Base,Base + calidad,Persistencia
E002 · Os Peares,0.426,0.453,0.634
E008 · Fuente del Azufre,-2.148,-3.627,-0.608
E009 · Montearenas,0.532,0.503,0.481
E011 · Peñarrubia,0.651,0.663,0.778
E025 · Leboreiro Mao,0.768,0.778,0.791
E026 · Edrada Mao,0.848,0.851,0.881
E027 · San Esteban,0.403,0.43,0.539
E028 · Vilasouto,0.967,0.963,0.979
E029 · San Pedro,-0.371,-0.225,-0.743
E030 · Velle,-0.253,-0.173,-0.589
E031 · Castrelo,0.001,0.149,-0.081
E033 · Frieira,-0.214,-0.011,-0.218
E07A · Bárcena,0.942,0.953,0.965
E32A · Albarellos,0.732,0.622,0.709
E35A · Conchas,0.888,0.894,0.916
E570 · Santiago,0.873,0.84,0.926
E571 · Pumares,-12.846,-17.501,-0.535
Mediana,0.532,0.503,0.634
