Embalse,Base,Base + calidad,Persistencia
E002 · Os Peares,0.426 (0.423 a 0.498),0.456 (0.416 a 0.499),0.634
E008 · Fuente del Azufre,-2.295 (-2.582 a -1.874),-3.097 (-3.627 a -1.812),-0.608
E009 · Montearenas,0.565 (0.524 a 0.581),0.562 (0.503 a 0.567),0.481
E011 · Peñarrubia,0.684 (0.651 a 0.719),0.673 (0.663 a 0.704),0.778
E025 · Leboreiro Mao,0.772 (0.767 a 0.788),0.780 (0.776 a 0.795),0.791
E026 · Edrada Mao,0.847 (0.843 a 0.868),0.858 (0.838 a 0.861),0.881
E027 · San Esteban,0.403 (0.358 a 0.468),0.430 (0.339 a 0.491),0.539
E028 · Vilasouto,0.967 (0.937 a 0.970),0.944 (0.794 a 0.963),0.979
E029 · San Pedro,-0.368 (-0.372 a -0.195),-0.313 (-0.359 a -0.211),-0.743
E030 · Velle,-0.163 (-0.253 a -0.107),-0.148 (-0.229 a -0.063),-0.589
E031 · Castrelo,0.055 (-0.055 a 0.168),0.149 (-0.130 a 0.169),-0.081
E033 · Frieira,-0.214 (-0.596 a -0.056),-0.062 (-0.327 a 0.069),-0.218
E07A · Bárcena,0.942 (0.936 a 0.958),0.949 (0.928 a 0.953),0.965
E32A · Albarellos,0.732 (0.679 a 0.769),0.716 (0.622 a 0.734),0.709
E35A · Conchas,0.888 (0.877 a 0.910),0.849 (0.687 a 0.894),0.916
E570 · Santiago,0.873 (0.850 a 0.900),0.868 (0.840 a 0.882),0.926
E571 · Pumares,-11.461 (-13.725 a -8.653),-12.696 (-17.501 a -10.675),-0.535
