,Base,Base + calidad,Persistencia
E002 · Os Peares,0.49,0.456,0.634
E008 · Fuente del Azufre,-2.489,-1.812,-0.608
E009 · Montearenas,0.581,0.562,0.481
E011 · Peñarrubia,0.684,0.672,0.778
E025 · Leboreiro Mao,0.773,0.776,0.791
E026 · Edrada Mao,0.847,0.859,0.881
E027 · San Esteban,0.367,0.339,0.539
E028 · Vilasouto,0.965,0.794,0.979
E029 · San Pedro,-0.195,-0.211,-0.743
E030 · Velle,-0.163,-0.229,-0.589
E031 · Castrelo,-0.055,-0.13,-0.081
E033 · Frieira,-0.339,-0.092,-0.218
E07A · Bárcena,0.942,0.952,0.965
E32A · Albarellos,0.717,0.716,0.709
E35A · Conchas,0.901,0.687,0.916
E570 · Santiago,0.883,0.882,0.926
E571 · Pumares,-9.478,-11.312,-0.535
Mediana,0.581,0.562,0.634
