,Base,Base + calidad,Persistencia
E002 · Os Peares,0.424,0.476,0.634
E008 · Fuente del Azufre,-2.295,-3.282,-0.608
E009 · Montearenas,0.524,0.562,0.481
E011 · Peñarrubia,0.672,0.673,0.778
E025 · Leboreiro Mao,0.767,0.78,0.791
E026 · Edrada Mao,0.843,0.838,0.881
E027 · San Esteban,0.427,0.414,0.539
E028 · Vilasouto,0.969,0.892,0.979
E029 · San Pedro,-0.372,-0.359,-0.743
E030 · Velle,-0.138,-0.148,-0.589
E031 · Castrelo,0.082,0.169,-0.081
E033 · Frieira,-0.056,-0.062,-0.218
E07A · Bárcena,0.951,0.947,0.965
E32A · Albarellos,0.679,0.732,0.709
E35A · Conchas,0.877,0.884,0.916
E570 · Santiago,0.85,0.85,0.926
E571 · Pumares,-11.461,-13.984,-0.535
Mediana,0.524,0.562,0.634
