,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.216,-0.189,-0.5
E008 · Fuente del Azufre,-1.055,-1.147,-0.84
E009 · Montearenas,-0.209,-0.264,-0.37
E011 · Peñarrubia,0.335,0.332,-0.113
E025 · Leboreiro Mao,0.18,0.187,-0.059
E026 · Edrada Mao,0.565,0.558,0.308
E027 · San Esteban,-0.177,-0.182,-0.41
E028 · Vilasouto,0.857,0.865,0.705
E029 · San Pedro,-2.222,-2.53,-0.958
E030 · Velle,-0.071,-0.037,-0.755
E031 · Castrelo,-0.154,-0.023,-0.466
E033 · Frieira,-0.661,-0.34,-0.803
E07A · Bárcena,0.7,0.675,0.621
E32A · Albarellos,-0.628,-0.57,-0.78
E35A · Conchas,0.494,0.532,0.36
E570 · Santiago,0.372,0.441,0.658
E571 · Pumares,-0.542,-0.52,-1.105
Mediana,-0.154,-0.037,-0.41
