,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.067,0.035,-0.5
E008 · Fuente del Azufre,-9.093,-15.193,-0.84
E009 · Montearenas,-0.083,-0.093,-0.37
E011 · Peñarrubia,0.0,0.01,-0.113
E025 · Leboreiro Mao,0.133,0.104,-0.059
E026 · Edrada Mao,0.421,0.417,0.308
E027 · San Esteban,-0.326,-0.128,-0.41
E028 · Vilasouto,0.829,0.826,0.705
E029 · San Pedro,-0.46,-1.178,-0.958
E030 · Velle,-0.892,-2.531,-0.755
E031 · Castrelo,-0.314,-1.433,-0.466
E033 · Frieira,-0.659,-0.634,-0.803
E07A · Bárcena,0.775,0.76,0.621
E32A · Albarellos,-0.369,-0.427,-0.78
E35A · Conchas,0.6,0.495,0.36
E570 · Santiago,0.486,0.451,0.658
E571 · Pumares,-16.037,-23.535,-1.105
Mediana,-0.083,-0.093,-0.41
