,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.036,0.042,-0.5
E008 · Fuente del Azufre,-6.581,-21.644,-0.84
E009 · Montearenas,0.118,-0.358,-0.37
E011 · Peñarrubia,0.159,0.072,-0.113
E025 · Leboreiro Mao,0.101,0.128,-0.059
E026 · Edrada Mao,0.456,0.43,0.308
E027 · San Esteban,-0.189,-0.062,-0.41
E028 · Vilasouto,0.851,0.746,0.705
E029 · San Pedro,-0.486,-1.706,-0.958
E030 · Velle,-0.934,-0.963,-0.755
E031 · Castrelo,-0.855,-0.191,-0.466
E033 · Frieira,-1.166,-0.446,-0.803
E07A · Bárcena,0.77,0.649,0.621
E32A · Albarellos,-0.437,-0.765,-0.78
E35A · Conchas,0.668,0.392,0.36
E570 · Santiago,0.49,0.212,0.658
E571 · Pumares,-13.516,-19.036,-1.105
Mediana,-0.036,-0.062,-0.41
