,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.123,-0.165,-0.5
E008 · Fuente del Azufre,-1.614,-12.645,-0.84
E009 · Montearenas,-0.198,-0.114,-0.37
E011 · Peñarrubia,0.031,-0.032,-0.113
E025 · Leboreiro Mao,0.087,0.17,-0.059
E026 · Edrada Mao,0.437,0.44,0.308
E027 · San Esteban,-0.168,-0.159,-0.41
E028 · Vilasouto,0.848,0.848,0.705
E029 · San Pedro,-0.728,-1.339,-0.958
E030 · Velle,-0.925,-1.465,-0.755
E031 · Castrelo,-0.448,-0.444,-0.466
E033 · Frieira,-0.967,-0.447,-0.803
E07A · Bárcena,0.769,0.753,0.621
E32A · Albarellos,-0.428,-0.619,-0.78
E35A · Conchas,0.726,0.573,0.36
E570 · Santiago,0.585,0.545,0.658
E571 · Pumares,-16.588,-18.835,-1.105
Mediana,-0.168,-0.159,-0.41
