,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.023,-0.112,-0.939
E008 · Fuente del Azufre,-21.745,-62.695,-1.109
E009 · Montearenas,-0.47,-0.788,-1.392
E011 · Peñarrubia,-0.095,-0.138,-0.869
E025 · Leboreiro Mao,-0.276,-0.191,-0.867
E026 · Edrada Mao,0.016,0.116,-0.891
E027 · San Esteban,-0.665,-0.424,-0.947
E028 · Vilasouto,0.605,0.677,-0.564
E029 · San Pedro,-3.035,-1.319,-0.632
E030 · Velle,-0.478,-0.829,-0.976
E031 · Castrelo,-0.187,-0.743,-0.431
E033 · Frieira,-0.328,-0.572,-0.658
E07A · Bárcena,0.555,0.565,-1.134
E32A · Albarellos,-0.531,-0.613,-0.907
E35A · Conchas,0.398,0.296,-1.091
E570 · Santiago,-0.105,-0.118,-0.021
E571 · Pumares,-31.375,-18.818,-0.397
Mediana,-0.276,-0.424,-0.891
