,Base,Base + calidad,Persistencia
E002 · Os Peares,0.001,-0.021,-0.939
E008 · Fuente del Azufre,-0.715,-1.083,-1.109
E009 · Montearenas,-0.896,-0.485,-1.392
E011 · Peñarrubia,0.076,0.028,-0.869
E025 · Leboreiro Mao,-0.035,0.089,-0.867
E026 · Edrada Mao,0.186,0.183,-0.891
E027 · San Esteban,-0.608,-0.594,-0.947
E028 · Vilasouto,0.601,0.584,-0.564
E029 · San Pedro,-3.769,-4.229,-0.632
E030 · Velle,-0.165,-0.296,-0.976
E031 · Castrelo,-0.107,-0.038,-0.431
E033 · Frieira,-0.361,-0.206,-0.658
E07A · Bárcena,0.348,0.345,-1.134
E32A · Albarellos,-1.275,-0.936,-0.907
E35A · Conchas,0.103,-0.073,-1.091
E570 · Santiago,-0.189,-0.284,-0.021
E571 · Pumares,-2.189,-2.706,-0.397
Mediana,-0.165,-0.206,-0.891
