,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.459,-0.466,-0.5
E008 · Fuente del Azufre,-0.309,-0.304,-0.84
E009 · Montearenas,-0.285,-0.278,-0.37
E011 · Peñarrubia,-0.076,-0.074,-0.113
E025 · Leboreiro Mao,-0.037,-0.041,-0.059
E026 · Edrada Mao,0.391,0.389,0.308
E027 · San Esteban,-0.611,-0.613,-0.41
E028 · Vilasouto,0.878,0.878,0.705
E029 · San Pedro,-1.255,-1.206,-0.958
E030 · Velle,-0.274,-0.27,-0.755
E031 · Castrelo,-0.046,-0.056,-0.466
E033 · Frieira,-0.313,-0.304,-0.803
E07A · Bárcena,0.819,0.819,0.621
E32A · Albarellos,-0.892,-0.892,-0.78
E35A · Conchas,0.45,0.452,0.36
E570 · Santiago,0.658,0.66,0.658
E571 · Pumares,-0.407,-0.4,-1.105
Mediana,-0.274,-0.27,-0.41
