,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.077,0.173,-0.939
E008 · Fuente del Azufre,-29.592,-52.162,-1.109
E009 · Montearenas,-0.354,0.129,-1.392
E011 · Peñarrubia,0.06,-0.003,-0.869
E025 · Leboreiro Mao,-0.235,-0.047,-0.867
E026 · Edrada Mao,0.047,0.253,-0.891
E027 · San Esteban,-0.05,-0.743,-0.947
E028 · Vilasouto,0.638,0.569,-0.564
E029 · San Pedro,-1.299,-2.464,-0.632
E030 · Velle,-0.901,-1.241,-0.976
E031 · Castrelo,-0.075,-0.418,-0.431
E033 · Frieira,-0.226,-0.348,-0.658
E07A · Bárcena,0.54,0.376,-1.134
E32A · Albarellos,-0.548,-0.523,-0.907
E35A · Conchas,0.43,0.157,-1.091
E570 · Santiago,-0.023,-0.344,-0.021
E571 · Pumares,-20.822,-31.877,-0.397
Mediana,-0.077,-0.344,-0.891
