,Base,Base + calidad,Persistencia
E002 · Os Peares,-0.112,-0.036,-0.5
E008 · Fuente del Azufre,-7.488,-12.12,-0.84
E009 · Montearenas,-0.153,-0.304,-0.37
E011 · Peñarrubia,0.043,-0.083,-0.113
E025 · Leboreiro Mao,0.132,0.148,-0.059
E026 · Edrada Mao,0.453,0.451,0.308
E027 · San Esteban,-0.371,-0.192,-0.41
E028 · Vilasouto,0.847,0.843,0.705
E029 · San Pedro,-0.437,-0.805,-0.958
E030 · Velle,-1.438,-1.999,-0.755
E031 · Castrelo,-0.634,-0.357,-0.466
E033 · Frieira,-1.1,-0.451,-0.803
E07A · Bárcena,0.73,0.783,0.621
E32A · Albarellos,-0.188,-0.367,-0.78
E35A · Conchas,0.648,0.308,0.36
E570 · Santiago,0.45,0.475,0.658
E571 · Pumares,-11.02,-15.994,-1.105
Mediana,-0.153,-0.192,-0.41
