,Base,Base + calidad,Persistencia
E002 · Os Peares,0.498,0.499,0.634
E008 · Fuente del Azufre,-1.874,-2.401,-0.608
E009 · Montearenas,0.573,0.545,0.481
E011 · Peñarrubia,0.719,0.685,0.778
E025 · Leboreiro Mao,0.788,0.795,0.791
E026 · Edrada Mao,0.868,0.858,0.881
E027 · San Esteban,0.468,0.491,0.539
E028 · Vilasouto,0.97,0.951,0.979
E029 · San Pedro,-0.323,-0.313,-0.743
E030 · Velle,-0.107,-0.063,-0.589
E031 · Castrelo,0.168,0.139,-0.081
E033 · Frieira,-0.082,0.069,-0.218
E07A · Bárcena,0.958,0.949,0.965
E32A · Albarellos,0.733,0.734,0.709
E35A · Conchas,0.91,0.849,0.916
E570 · Santiago,0.9,0.878,0.926
E571 · Pumares,-13.725,-10.675,-0.535
Mediana,0.573,0.545,0.634
